sites_domain,title,productDetailPageURL,UPC,units,offerPriceformattedPrice,adjustedPriceformatted,image,AmazonTitle,ASIN,ASIN_auto,parentasin,AmazonURL,AmazonImg,AmazonCategory,brand,AmazonUPC,BuyBox,BuyBoxPrice,price_avg_30,price_avg_90,FBAcalculated,FBAadjusted,GrossProfit,GrossROI,InStock,Weight,WeightUnits,ProductSize,SalesRank,average_rank30,average_rank90,EstimatedMonthlySales,TotalNew,reviews,rating,Keepa,CCC,ASC
argos.co.uk,"Richardson Love Colour 5 Piece Knife Set",http://www.argos.co.uk/product/3923043,5013314723041,1,£13.99,,//media.4rgos.it/s/Argos/3923043_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Richardson Sheffield Mono Colour 5 Piece Knife Block with clear Acrylic Block",B00KDI7IXQ,B00KDI7IXQ,,https://www.amazon.co.uk/dp/B00KDI7IXQ/,http://ecx.images-amazon.com/images/I/41fxZczAEGL.jpg,"Home & Kitchen",Amefa,5013314723041,FBA,£34.50,,,£25.51,£21.66,£7.67,"55 %",1,265,hundredths-pounds,"Large Standard-Size",106208,,,20,1,0,0,https://keepa.com/#!product/2-B00KDI7IXQ,http://uk.camelcamelcamel.com/product/B00KDI7IXQ,https://sellercentral.amazon.co.uk/productsearch?q=B00KDI7IXQ
argos.co.uk,"Richardson Love Mono 5 Piece Knife Set",http://www.argos.co.uk/product/3824142,5013314723041,1,£13.79,,//media.4rgos.it/s/Argos/3824142_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Richardson Sheffield Mono Colour 5 Piece Knife Block with clear Acrylic Block",B00KDI7IXQ,B00KDI7IXQ,,https://www.amazon.co.uk/dp/B00KDI7IXQ/,http://ecx.images-amazon.com/images/I/41fxZczAEGL.jpg,"Home & Kitchen",Amefa,5013314723041,FBA,£34.50,,,£25.51,£21.66,£7.87,"57 %",1,265,hundredths-pounds,"Large Standard-Size",106208,,,20,1,0,0,https://keepa.com/#!product/2-B00KDI7IXQ,http://uk.camelcamelcamel.com/product/B00KDI7IXQ,https://sellercentral.amazon.co.uk/productsearch?q=B00KDI7IXQ
argos.co.uk,"Sabatier Professional 5 Piece Sloping Knife Block Set",http://www.argos.co.uk/product/5234503,5014765106261,1,£26.99,,//media.4rgos.it/s/Argos/5234503_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"5Piece Professional Sabatier Knife Block Set - Solid Wood Block, Full Tang, Quality High Carbon Steel Taper Ground Blades, Triple Rivet Comfort Handles. Sh",B00AC1CKA0,B00AC1CKA0,,https://www.amazon.co.uk/dp/B00AC1CKA0/,http://ecx.images-amazon.com/images/I/41LAwagAkeL.jpg,"Home & Kitchen","Taylors Eye Witness",5014765106261,FBA,£49.97,£49.97,£49.97,£36.64,£30.81,£3.82,"14 %",1,463,hundredths-pounds,"Large Standard-Size",267229,456203,796455,4,1,1,5,https://keepa.com/#!product/2-B00AC1CKA0,http://uk.camelcamelcamel.com/product/B00AC1CKA0,https://sellercentral.amazon.co.uk/productsearch?q=B00AC1CKA0
argos.co.uk,"Richardson Sheffield Magnetic Knife Stand",http://www.argos.co.uk/product/2748078,5013314720286,1,£24.99,,//media.4rgos.it/s/Argos/2748078_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Richardson Sheffield R164HSRC57846 Magnetic Knife Block Unloaded Stainless Steel Black",B00CHI7GG4,B00CHI7GG4,,https://www.amazon.co.uk/dp/B00CHI7GG4/,http://ecx.images-amazon.com/images/I/31jHc%2B16vKL.jpg,"Home & Kitchen","Richardson Sheffield",5013314720286,FBA,£49.95,£44.90,£44.18,£36.63,£31.2,£6.21,"25 %",1,423,hundredths-pounds,"Large Standard-Size",366692,358284,368820,5,1,12,3.8,https://keepa.com/#!product/2-B00CHI7GG4,http://uk.camelcamelcamel.com/product/B00CHI7GG4,https://sellercentral.amazon.co.uk/productsearch?q=B00CHI7GG4
argos.co.uk,"HOME 16 Jar Stainless Steel Revolving Spice Rack",http://www.argos.co.uk/product/8423050,,1,£17.99,,//media.4rgos.it/s/Argos/8423050_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Luxury 16 Jar Stainless Steel Revolving Spice Rack",B06XY26D35,B06XY26D35,,https://www.amazon.co.uk/dp/B06XY26D35/,http://ecx.images-amazon.com/images/I/41hWHVypHfL.jpg,"Home & Kitchen",Delex®,,MF,£34.07,£29.99,£29.99,£25.73,£24.53,£6.54,"36 %",1,0,hundredths-pounds,,2246836,2543845,2674036,0,1,0,0,https://keepa.com/#!product/2-B06XY26D35,http://uk.camelcamelcamel.com/product/B06XY26D35,https://sellercentral.amazon.co.uk/productsearch?q=B06XY26D35
argos.co.uk,"HOME 16 Jar Stainless Steel Revolving Spice Rack",http://www.argos.co.uk/product/8423050,,1,£17.99,,//media.4rgos.it/s/Argos/8423050_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"16 Jar Revolving Spice Rack (884230500)",B00J3PXVS6,B00J3PXVS6,,https://www.amazon.co.uk/dp/B00J3PXVS6/,http://ecx.images-amazon.com/images/I/31qZLUVlARL.jpg,Categories,Liv,,MF,£29.99,£26.00,£26.00,£22.38,£21.18,£3.19,"18 %",1,0,hundredths-pounds,,0,0,0,0,1,0,0,https://keepa.com/#!product/2-B00J3PXVS6,http://uk.camelcamelcamel.com/product/B00J3PXVS6,https://sellercentral.amazon.co.uk/productsearch?q=B00J3PXVS6
argos.co.uk,"Collection Electronic Salt and Pepper Mills",http://www.argos.co.uk/product/8429889,,1,£17.99,,//media.4rgos.it/s/Argos/8429889_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Electronic Salt and Pepper Mills (884298899)",B00H3GFBW6,B00H3GFBW6,,https://www.amazon.co.uk/dp/B00H3GFBW6/,http://ecx.images-amazon.com/images/I/21yUe3zXjPL.jpg,"Home & Garden",,,FBA,£28.48,£24.49,£24.49,£21.15,£19.95,£1.96,"11 %",1,0,hundredths-pounds,,0,,,0,2,0,0,https://keepa.com/#!product/2-B00H3GFBW6,http://uk.camelcamelcamel.com/product/B00H3GFBW6,https://sellercentral.amazon.co.uk/productsearch?q=B00H3GFBW6
argos.co.uk,"HOME Wooden Revolving Spice Rack with 16 Jars",http://www.argos.co.uk/product/3316083,,1,£23.99,,//media.4rgos.it/s/Argos/3316083_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Luxury Wooden Revolving Spice Rack",B01N3ATGLC,B01N3ATGLC,,https://www.amazon.co.uk/dp/B01N3ATGLC/,http://ecx.images-amazon.com/images/I/41MvaIOvbAL.jpg,"Home & Garden",Delex®,,MF,£46.99,£44.29,£44.14,£36.32,£35.12,£11.13,"46 %",1,0,hundredths-pounds,,0,,,0,2,0,0,https://keepa.com/#!product/2-B01N3ATGLC,http://uk.camelcamelcamel.com/product/B01N3ATGLC,https://sellercentral.amazon.co.uk/productsearch?q=B01N3ATGLC
argos.co.uk,"OXO Softworks Pepper Grinder",http://www.argos.co.uk/product/6065582,719812075426,1,£14.99,,//media.4rgos.it/s/Argos/6065582_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"OXO Pepper Grinder, Clear",B00F5MJCTS,B00F5MJCTS,,https://www.amazon.co.uk/dp/B00F5MJCTS/,http://ecx.images-amazon.com/images/I/41QsmtUc2ZL.jpg,"Home & Kitchen",Oxo,719812075426,MF,£50.22,£26.19,£28.55,£38.68,£36.93,£21.94,"146 %",1,55,hundredths-pounds,"Large Standard-Size",397735,273643,635717,7,2,2,5,https://keepa.com/#!product/2-B00F5MJCTS,http://uk.camelcamelcamel.com/product/B00F5MJCTS,https://sellercentral.amazon.co.uk/productsearch?q=B00F5MJCTS
argos.co.uk,"HOME Pack of 5 Terry Tea Towels - Black/Natural",http://www.argos.co.uk/product/1220858,,1,£5.99,,//media.4rgos.it/s/Argos/1220858_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70&$W_TMB_220_BADGE$&topright=clearance,"Pack of 5 Terry Cotton Tea Towels - Black/Natural (Machine Washable)",B01B9U3IC6,B01B9U3IC6,,https://www.amazon.co.uk/dp/B01B9U3IC6/,http://ecx.images-amazon.com/images/I/51SzEOH8O2L.jpg,"Home & Kitchen","Empire Sterling",,MF,£22.98,£19.99,£19.98,£16.63,£15.43,£9.44,"158 %",1,0,hundredths-pounds,,3417555,3818342,4072610,0,1,0,0,https://keepa.com/#!product/2-B01B9U3IC6,http://uk.camelcamelcamel.com/product/B01B9U3IC6,https://sellercentral.amazon.co.uk/productsearch?q=B01B9U3IC6
argos.co.uk,"Aqua Optima Liscia Filter Jug with 60 Day Cartridge - White",http://www.argos.co.uk/product/6216049,5060090242761,1,£6.99,,//media.4rgos.it/s/Argos/6216049_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Aqua Optima Liscia Filter Jug with 60 Day Cartridge - White",B0752SBWVS,B0752SBWVS,,https://www.amazon.co.uk/dp/B0752SBWVS/,http://ecx.images-amazon.com/images/I/41caVfkhtPL.jpg,"Home & Kitchen",Aqua,5060090242761,MF,£17.98,£14.99,£14.99,£12.14,£9.35,£2.36,"34 %",1,159,hundredths-pounds,"Large Standard-Size",1844715,2015606,1652891,0,1,1,5,https://keepa.com/#!product/2-B0752SBWVS,http://uk.camelcamelcamel.com/product/B0752SBWVS,https://sellercentral.amazon.co.uk/productsearch?q=B0752SBWVS
argos.co.uk,"Brita Aluna X-Large Jug with 4 Filter Cartridges - White",http://www.argos.co.uk/product/7425073,4006387091774,1,£29.99,,//media.4rgos.it/s/Argos/7425073_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Brita Aluna X-Large Jug with 4 Filter Cartridges - White",B07F67VV86,B07F67VV86,,https://www.amazon.co.uk/dp/B07F67VV86/,http://ecx.images-amazon.com/images/I/31hGGqCgl2L.jpg,"Filter Jugs",Brand,4006387091774,FBA,£64.00,£64.00,£64.00,£50.27,£49.07,£19.08,"64 %",1,0,hundredths-pounds,,0,,,0,1,0,0,https://keepa.com/#!product/2-B07F67VV86,http://uk.camelcamelcamel.com/product/B07F67VV86,https://sellercentral.amazon.co.uk/productsearch?q=B07F67VV86
argos.co.uk,"Zerowater 12 Cup Water Filter Jug - Blue",http://www.argos.co.uk/product/7921333,851510006088,1,£39.99,,//media.4rgos.it/s/Argos/7921333_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"Zerowater 12 Cup Water Filter Jug - Blue",B078STLTRG,B078STLTRG,,https://www.amazon.co.uk/dp/B078STLTRG/,http://ecx.images-amazon.com/images/I/41jrX4tP4gL.jpg,"Filter Jugs",Brand,851510006088,FBA,£84.00,£84.00,£84.00,£65.84,£61.07,£21.08,"53 %",1,357,hundredths-pounds,"Large Standard-Size",0,,,0,1,0,0,https://keepa.com/#!product/2-B078STLTRG,http://uk.camelcamelcamel.com/product/B078STLTRG,https://sellercentral.amazon.co.uk/productsearch?q=B078STLTRG
argos.co.uk,"HOME Hour Glass Ice Bucket and Tongs",http://www.argos.co.uk/product/8426693,,1,£13.49,,//media.4rgos.it/s/Argos/8426693_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70&$W_TMB_220_BADGE$&topright=clearance,"Hour Glass Ice Bucket and Tongs (884266933)",B00J65DSOA,B00J65DSOA,,https://www.amazon.co.uk/dp/B00J65DSOA/,http://ecx.images-amazon.com/images/I/31AxCRan3KL.jpg,Categories,Liv,,FBA,£29.99,£26.00,£26.00,£22.38,£21.18,£7.69,"57 %",1,0,hundredths-pounds,,0,,,0,3,0,0,https://keepa.com/#!product/2-B00J65DSOA,http://uk.camelcamelcamel.com/product/B00J65DSOA,https://sellercentral.amazon.co.uk/productsearch?q=B00J65DSOA
argos.co.uk,"HOME 14 Bottle Chrome Wine Rack",http://www.argos.co.uk/product/8402143,,1,£20.99,,//media.4rgos.it/s/Argos/8402143_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"HOME 14 Bottle Chrome Wine Rack",B00N43Y2IG,B00N43Y2IG,,https://www.amazon.co.uk/dp/B00N43Y2IG/,http://ecx.images-amazon.com/images/I/516dRCPzlSL.jpg,"Home & Kitchen",Other,,MF,£42.94,£33.73,£32.57,£33,£31.8,£10.81,"52 %",1,0,hundredths-pounds,,3321176,3779927,3968427,0,3,0,0,https://keepa.com/#!product/2-B00N43Y2IG,http://uk.camelcamelcamel.com/product/B00N43Y2IG,https://sellercentral.amazon.co.uk/productsearch?q=B00N43Y2IG
argos.co.uk,"HOME 14 Bottle Chrome Wine Rack",http://www.argos.co.uk/product/8402143,,1,£20.99,,//media.4rgos.it/s/Argos/8402143_R_SET?$Web$&$Main350$&w=220&h=220&qlt=70,"14 Bottle Chrome Wine Rack.",B00MV02654,B00MV02654,,https://www.amazon.co.uk/dp/B00MV02654/,http://ecx.images-amazon.com/images/I/41KOoKRYocL.jpg,"Home & Garden",Other,,FBA,£49.95,£50.08,£45.63,£38.75,£37.55,£16.56,"79 %",1,0,hundredths-pounds,,0,0,0,0,1,0,0,https://keepa.com/#!product/2-B00MV02654,http://uk.camelcamelcamel.com/product/B00MV02654,https://sellercentral.amazon.co.uk/productsearch?q=B00MV02654
